ja,190254
on,89041
ei,39284
että,38486
niin,37615
kuin,33120
se,30283
hän,26258
joka,25486
mutta,25318
sen,24705
oli,23674
ovat,21024
jos,19893
vaan,16650
hänen,15705
sitä,15205
eli,14521
kun,14363
nyt,13733
jotka,13467
ole,12271
myös,12268
sillä,12225
minä,11942
vielä,11277
ne,11215
siitä,10760
jo,10626
sekä,10195
tämä,10123
kaikki,9901
mitä,9868
tahi,9486
jonka,9013
tulee,8499
tämän,7763
kanssa,7623
he,7350
pitää,7258
suomen,7093
ennen,6678
siihen,6613
siis,6459
eikä,6454
ollut,6294
aina,6262
siinä,6226
koska,6149
koko,5824
tässä,5793
olisi,5780
niitä,5537
taikka,5452
kautta,5323
tätä,5239
me,5191
jota,5185
olla,5138
häntä,5062
vastaan,4998
kuinka,4897
heidän,4884
toinen,4847
sinä,4816
kuitenkin,4811
pois,4771
kyllä,4747
minun,4726
hyvin,4699
en,4630
taas,4584
tuli,4505
jossa,4465
eivät,4449
meidän,4428
jälkeen,4380
olivat,4375
sitten,4291
paljon,4256
itse,4128
voi,4051
joita,4042
mukaan,4000
maan,3987
silloin,3943
siellä,3827
olevan,3781
olen,3755
tästä,3721
sanoi,3691
ainoastaan,3687
yksi,3655
ilman,3627
mitään,3576
vaikka,3574
josta,3572
kaksi,3516
niiden,3514
ettei,3501
näin,3448
yhtä,3437
tähän,3421
aivan,3389
myöskin,3381
mies,3317
herra,3304
tavalla,3280
päivänä,3207
hänelle,3156
kerran,3111
antaa,3075
kohta,3060
mikä,3043
saa,2981
hyvä,2968
täällä,2924
vähän,2893
muuta,2856
niistä,2855
jumalan,2838
monta,2796
sinun,2760
asti,2750
tai,2699
te,2667
vuoden,2660
juuri,2655
vuonna,2619
poika,2613
olemme,2611
minua,2553
päälle,2524
pian,2518
tähden,2467
ehkä,2444
heitä,2441
usein,2394
enemmän,2389
tullut,2388
kuningas,2378
suhteen,2374
varten,2359
tällä,2359
miten,2340
aikaa,2337
suuri,2336
joku,2303
jolla,2301
kansa,2298
näitä,2285
saada,2279
sanotaan,2254
kansan,2242
vasta,2209
toisen,2180
tehdä,2179
välillä,2140
yli,2137
alla,2128
saanut,2117
pannaan,2103
muita,2092
missä,2073
eri,2051
joista,2048
muut,2046
samalla,2043
minulle,1997
ensin,1997
osa,1960
oikein,1948
ynnä,1940
tekee,1937
teidän,1931
sanoo,1903
perästä,1896
ottaa,1893
yhden,1890
sai,1888
piti,1885
vuotta,1877
kolme,1875
jumala,1874
johon,1860
kuitenkaan,1853
tulla,1826
täytyy,1824
löytyy,1794
kuninkaan,1778
myöten,1769
enää,1756
sinne,1752
ulos,1751
tuo,1744
asia,1739
saadaan,1738
vettä,1730
nimittäin,1729
aikana,1718
paitsi,1695
yhteen,1680
miehen,1677
päivän,1674
aika,1666
vanha,1654
ajan,1650
meille,1639
paljo,1635
tänne,1634
puolen,1630
muuten,1628
näyttää,1619
joiden,1618
samoin,1604
saattaa,1603
suomessa,1576
meni,1562
olkoon,1562
vastasi,1561
puolesta,1559
tulevat,1553
venäjän,1552
kuuluu,1544
kaiken,1539
olet,1534
ruotsin,1532
päin,1531
vuoksi,1518
heti,1517
siksi,1516
maa,1504
näistä,1504
katso,1500
varsin,1496
joissa,1493
heille,1476
päivä,1470
maata,1464
alle,1461
sama,1460
jonkun,1431
tavallisesti,1427
saapi,1414
samassa,1413
itsensä,1408
meitä,1393
valtakunnan,1392
muutamia,1390
maahan,1389
voipi,1382
ainoastansa,1370
no,1364
joilla,1362
maassa,1362
näiden,1350
tavoin,1342
turun,1342
hänellä,1341
vesi,1334
asian,1331
kielen,1326
hyvää,1326
sille,1325
päästä,1324
ylös,1322
maalla,1320
otti,1319
annettu,1314
kaikkia,1310
anna,1309
sinua,1299
annetaan,1298
joko,1294
sanoa,1291
oman,1285
vasten,1284
noin,1281
viimein,1280
